Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2018/02/01,00:36,Thursday,RUNNYMEDE STATION,MUIS,0,0,,BD,0
2018/02/01,00:55,Thursday,MCCOWAN STATION,ERAC,6,12,S,SRT,3004
2018/02/01,01:03,Thursday,SUMMERHILL STATION,SUO,3,8,N,YU,5516
2018/02/01,01:55,Thursday,LAWRENCE STATION,TUSC,0,0,N,YU,5466
2018/02/01,02:42,Thursday,WILSON STATION,PUMEL,0,0,,YU,0
2018/02/01,02:44,Thursday,MCCOWAN YARD,MRPLB,0,0,,SRT,0
2018/02/01,05:35,Thursday,GLENCAIRN STATION,EUOE,0,0,N,YU,0
2018/02/01,06:13,Thursday,DONLANDS STATION,MUIR,0,0,W,BD,5301
2018/02/01,06:15,Thursday,KENNEDY BD STATION,MUSC,0,0,W,BD,5340
2018/02/01,06:29,Thursday,BLOOR STATION,MUIS,0,0,S,YU,5656
2018/02/01,06:35,Thursday,MIDLAND STATION,MRPAA,0,0,S,SRT,3012
2018/02/01,07:02,Thursday,KIPLING STATION,MUSC,0,0,E,BD,5192
2018/02/01,07:19,Thursday,GREENWOOD STATION,EUSC,0,0,E,BD,5332
2018/02/01,07:21,Thursday,ROYAL YORK STATION,EUDO,7,9,E,BD,5025
2018/02/01,07:33,Thursday,RUNNYMEDE STATION,MUPAA,3,5,E,BD,5303
2018/02/01,07:51,Thursday,SHEPPARD WEST STATION,MUIS,0,0,,YU,0
2018/02/01,08:07,Thursday,DAVISVILLE STATION,MUIS,0,0,S,YU,5596
2018/02/01,08:42,Thursday,EGLINTON WEST STATION,TUDOE,28,30,S,YU,5911
2018/02/01,08:56,Thursday,BLOOR STATION,MUIR,4,6,S,YU,5576
2018/02/01,09:08,Thursday,KENNEDY BD STATION,MUSC,0,0,W,BD,5169
2018/02/01,09:12,Thursday,WILSON STATION,TUCC,4,7,S,YU,5456
2018/02/01,10:00,Thursday,BROADVIEW STATION,EUPI,6,8,E,BD,5052
2018/02/01,10:16,Thursday,LAWRENCE WEST STATION,PUSNT,0,0,N,YU,5786
2018/02/01,10:30,Thursday,KENNEDY BD STATION,EUCD,0,0,W,BD,5021
2018/02/01,11:22,Thursday,WELLESLEY STATION,SUUT,0,0,,YU,0
2018/02/01,11:39,Thursday,WELLESLEY STATION,MUI,0,0,N,YU,5506
2018/02/01,11:42,Thursday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2018/02/01,11:52,Thursday,ST GEORGE BD STATION,PUSTS,0,0,W,BD,5054
2018/02/01,11:53,Thursday,DUNDAS STATION,MUPAA,0,0,S,YU,5621
2018/02/01,12:09,Thursday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2018/02/01,12:10,Thursday,KEELE STATION,MUSC,0,0,E,BD,5166
2018/02/01,12:18,Thursday,OLD MILL STATION,PUMEL,0,0,,BD,0
2018/02/01,12:45,Thursday,VAUGHAN MC STATION,SUDP,0,0,,YU,0
2018/02/01,13:48,Thursday,VAUGHAN MC STATION,TUO,3,6,S,YU,5651
2018/02/01,14:12,Thursday,WARDEN STATION,MUSC,0,0,E,BD,5330
2018/02/01,14:22,Thursday,BAYVIEW STATION,MUIR,0,0,W,SHP,6176
2018/02/01,14:28,Thursday,ROYAL YORK STATION,MUIS,0,0,,BD,0
2018/02/01,15:12,Thursday,ISLINGTON STATION,SUUT,3,6,W,BD,5092
2018/02/01,15:38,Thursday,DUNDAS STATION,PUMST,0,0,,YU,0
2018/02/01,15:41,Thursday,VAUGHAN MC STATION,MUTO,3,8,S,YU,5741
2018/02/01,15:51,Thursday,VAUGHAN MC STATION,EUATC,3,8,S,YU,5741
2018/02/01,15:59,Thursday,ST GEORGE YUS STATION,MUIR,4,7,N,YU,5561
2018/02/01,16:09,Thursday,KENNEDY BD STATION,MUSC,0,0,E,BD,5330
2018/02/01,16:12,Thursday,DON MILLS STATION,TUMVS,0,0,E,SHP,6166
2018/02/01,16:39,Thursday,FINCH STATION,EUDO,3,5,S,YU,5951
2018/02/01,17:01,Thursday,KENNEDY SRT STATION,MRPLB,142,147,N,SRT,3007
2018/02/01,17:02,Thursday,ISLINGTON STATION,MUIS,0,0,,BD,0
2018/02/01,17:25,Thursday,FINCH STATION,MUSC,0,0,S,YU,6031
2018/02/01,17:26,Thursday,COXWELL STATION,PUSCR,6,8,W,BD,5158
2018/02/01,17:35,Thursday,SHEPPARD WEST STATION,MUATC,0,0,N,YU,5441
2018/02/01,17:38,Thursday,BROADVIEW STATION,MUO,6,8,W,BD,5158
2018/02/01,17:50,Thursday,DAVISVILLE STATION,MUIS,0,0,N,YU,0
2018/02/01,18:00,Thursday,SHEPPARD WEST STATION,MUIS,0,0,,YU,0
2018/02/01,18:02,Thursday,EGLINTON WEST STATION,MUSC,3,5,S,YU,5701
2018/02/01,18:40,Thursday,ST CLAIR WEST STATION,TUSC,0,0,N,YU,5666
2018/02/01,18:51,Thursday,KENNEDY BD STATION,PUMEL,0,0,,BD,0
2018/02/01,18:52,Thursday,ROSEDALE STATION,MUPAA,0,0,N,YU,5721
2018/02/01,18:59,Thursday,ST CLAIR WEST STATION,SUO,0,0,,YU,0
2018/02/01,19:00,Thursday,BLOOR STATION,MUPAA,0,0,S,YU,5671
2018/02/01,20:03,Thursday,LANSDOWNE STATION,MUIRS,0,0,W,BD,0
2018/02/01,20:23,Thursday,KENNEDY BD STATION,TUSC,0,0,E,BD,5116
2018/02/01,21:04,Thursday,FINCH WEST STATION,MUIR,3,6,N,YU,6121
2018/02/01,21:12,Thursday,CHESTER STATION,MUPAA,0,0,E,BD,5009
2018/02/01,21:32,Thursday,NORTH YORK CTR STATION,SUDP,4,9,N,YU,5386
2018/02/01,22:00,Thursday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2018/02/01,22:04,Thursday,LAWRENCE STATION,SUDP,0,0,S,YU,0
2018/02/01,22:08,Thursday,KIPLING STATION,TUKEY,4,9,,BD,5089
2018/02/01,22:33,Thursday,MCCOWAN STATION,ERTC,8,14,S,SRT,3027
2018/02/01,22:40,Thursday,WILSON STATION,SUDP,9,14,N,YU,6116
2018/02/01,22:46,Thursday,SPADINA YUS STATION,MUPAA,0,0,N,YU,5706
2018/02/01,22:54,Thursday,YORKDALE STATION,SUDP,6,11,N,YU,5756
2018/02/01,23:08,Thursday,BLOOR STATION,MUIS,0,0,,YU,0
2018/02/01,23:19,Thursday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2018/02/01,23:33,Thursday,VICTORIA PARK STATION,MUIS,0,0,,BD,0
2018/02/01,23:41,Thursday,VICTORIA PARK STATION,MUSC,0,0,E,BD,5273
2018/02/01,23:41,Thursday,VICTORIA PARK STATION,SUDP,0,0,W,BD,5343
2018/02/01,23:50,Thursday,QUEEN'S PARK STATION,MUIS,0,0,,YU,0
2018/02/02,00:24,Friday,HIGH PARK STATION,MUSC,0,0,W,BD,5194
