Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2017/12/01,00:19,Friday,YUS/BD/SHEPPARD SUBWAY,MUGD,0,0,,YU,0
2017/12/01,00:27,Friday,OSGOODE STATION,TUSC,0,0,N,YU,5691
2017/12/01,00:42,Friday,WILSON YARD,EUOE,0,0,S,YU,5526
2017/12/01,01:40,Friday,JANE STATION,TUSC,0,0,W,BD,5052
2017/12/01,02:24,Friday,FINCH STATION,TUMVS,0,0,N,YU,5411
2017/12/01,05:21,Friday,OLD MILL STATION,PUTWZ,5,0,E,BD,5221
2017/12/01,05:37,Friday,FINCH STATION,MUSC,0,0,S,YU,5756
2017/12/01,05:37,Friday,FINCH STATION,SUCOL,0,0,,YU,0
2017/12/01,06:10,Friday,BLOOR DANFORTH SUBWAY,PUSRA,0,0,,BD,0
2017/12/01,06:12,Friday,SHEPPARD WEST STATION,MUNOA,3,5,S,YU,0
2017/12/01,07:04,Friday,HIGH PARK STATION,SUAP,11,13,W,BD,5086
2017/12/01,07:36,Friday,DAVISVILLE STATION,SUAP,0,0,,YU,0
2017/12/01,08:08,Friday,SUMMERHILL STATION,MUIS,0,0,,YU,0
2017/12/01,08:14,Friday,EGLINTON STATION,MUPAA,0,0,S,YU,5926
2017/12/01,08:55,Friday,COXWELL STATION,MUO,3,5,W,BD,5314
2017/12/01,09:53,Friday,ST CLAIR WEST STATION,TUOS,0,0,N,YU,5796
2017/12/01,10:16,Friday,EGLINTON STATION,MUO,3,6,S,YU,5781
2017/12/01,10:17,Friday,WARDEN STATION,TUSC,0,0,E,BD,5240
2017/12/01,10:51,Friday,WILSON STATION,MUSC,0,0,S,YU,5121
2017/12/01,11:24,Friday,HIGH PARK STATION,MUNCA,0,0,,BD,0
2017/12/01,11:52,Friday,YONGE SHP STATION,SUSA,0,0,E,SHP,6162
2017/12/01,13:00,Friday,FINCH STATION,EUPI,3,6,S,YU,5421
2017/12/01,13:54,Friday,SHEPPARD WEST STATION,MUO,10,13,N,YU,5156
2017/12/01,14:09,Friday,SPADINA YUS STATION,EUNT,3,6,S,YU,6121
2017/12/01,14:40,Friday,VICTORIA PARK STATION,MUIS,0,0,,BD,0
2017/12/01,14:57,Friday,YORK MILLS STATION,TUSC,0,0,S,YU,5736
2017/12/01,15:11,Friday,KIPLING STATION,MUIE,0,0,E,BD,5298
2017/12/01,15:26,Friday,KEELE STATION,PUTO,4,6,E,BD,5241
2017/12/01,15:38,Friday,SHEPPARD WEST STATION,TUO,5,8,N,YU,6096
2017/12/01,15:40,Friday,DUPONT STATION,MUPAA,0,0,N,YU,5496
