Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2018/01/01,00:29,Monday,SHEPPARD WEST STATION,MUATC,10,15,N,YU,5986
2018/01/01,01:07,Monday,DUNDAS STATION,MUNCA,0,0,,YU,0
2018/01/01,01:22,Monday,MUSEUM STATION,MUSC,0,0,N,YU,5751
2018/01/01,01:28,Monday,BAY LOWER,EUOE,0,0,,BD,5222
2018/01/01,01:39,Monday,MUSEUM STATION,MUO,6,11,S,YU,5781
2018/01/01,02:00,Monday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2018/01/01,02:09,Monday,KIPLING STATION,MUSAN,3,7,E,BD,5261
2018/01/01,02:32,Monday,UNION STATION,MUIS,0,0,,YU,0
2018/01/01,02:42,Monday,COLLEGE STATION,SUDP,7,12,N,YU,5696
2018/01/01,02:48,Monday,KIPLING STATION,SUDP,0,0,,BD,0
2018/01/01,03:06,Monday,WARDEN STATION,MUI,3,7,E,BD,5257
2018/01/01,03:12,Monday,WILSON YARD,EUOE,0,0,N,YU,5816
2018/01/01,04:38,Monday,WILSON YARD,TUMVS,0,0,S,YU,5696
2018/01/01,07:55,Monday,DONLANDS STATION,TUNOA,4,8,W,BD,0
2018/01/01,07:57,Monday,KEELE STATION,TUNOA,4,8,W,BD,5321
2018/01/01,08:02,Monday,KENNEDY BD STATION,TUSC,0,0,W,BD,5202
2018/01/01,08:08,Monday,ISLINGTON STATION,PUMO,0,0,,BD,0
2018/01/01,08:28,Monday,DONLANDS STATION,TUNOA,4,8,W,BD,0
2018/01/01,08:33,Monday,KENNEDY SRT STATION,ERTC,7,14,N,SRT,3013
2018/01/01,08:41,Monday,VICTORIA PARK STATION,EUDO,6,10,W,BD,5030
2018/01/01,08:46,Monday,OLD MILL STATION,EUBK,4,8,E,BD,5069
2018/01/01,08:52,Monday,KENNEDY SRT STATION,ERPR,7,14,S,SRT,3004
2018/01/01,09:02,Monday,DAVISVILLE STATION,PUSO,4,9,S,YU,5755
2018/01/01,09:11,Monday,EGLINTON WEST STATION,MUSC,0,0,N,YU,5456
2018/01/01,09:23,Monday,DAVISVILLE STATION,MUPAA,0,0,N,YU,5601
2018/01/01,10:15,Monday,ROYAL YORK STATION,EULV,0,0,E,BD,5210
2018/01/01,11:06,Monday,CHESTER STATION,TUSC,0,0,E,BD,5046
2018/01/01,11:28,Monday,YONGE SHP STATION,PUMEL,0,0,,SHP,0
2018/01/01,11:46,Monday,KENNEDY BD STATION,SUUT,4,8,W,BD,5046
2018/01/01,13:16,Monday,COXWELL STATION,MUSC,0,0,E,BD,5238
2018/01/01,13:26,Monday,ST GEORGE BD STATION,TUO,9,14,E,BD,5314
2018/01/01,13:34,Monday,LANSDOWNE STATION,MUNCA,0,0,,BD,0
